engine,indexing,access,operation,valueType,size,samples,avg_ms,min_ms,max_ms,stddev_ms
Realm,default,write,insert,-,1000,10,6.5579,4.9714,11.4313,2.0477
Realm,default,write,insert,-,10000,10,51.1520,48.8568,57.3998,2.5355
Realm,default,write,insert,-,100000,10,491.9938,487.8154,494.0523,2.2517
Realm,default,write,update,-,10,10,0.3207,0.1056,0.7359,0.2491
Realm,default,write,update,-,100,10,0.1976,0.1159,0.3924,0.0824
Realm,default,write,update,-,1000,10,0.7014,0.6145,1.3082,0.2138
Realm,default,write,update,-,10000,10,5.3181,5.1927,5.4278,0.0830
Realm,default,write,update,-,100000,10,57.1382,55.4483,60.6505,1.5667
SQLiteData,default,read,equality,int,10,10,0.1892,0.0725,1.1320,0.3319
SQLiteData,default,read,equality,int,100,10,0.1092,0.0798,0.3087,0.0707
SQLiteData,default,read,equality,int,1000,10,0.2230,0.1781,0.5425,0.1130
SQLiteData,default,read,equality,int,10000,10,2.2346,1.3735,3.6346,0.8236
SQLiteData,default,read,equality,int,100000,10,10.0089,5.5811,23.8397,5.4607
SQLiteData,default,read,equality,string,10,10,0.2439,0.1888,0.5855,0.1220
SQLiteData,default,read,equality,string,100,10,0.2902,0.2197,0.7662,0.1684
SQLiteData,default,read,equality,string,1000,10,0.3657,0.2201,0.6589,0.1234
SQLiteData,default,read,equality,string,10000,10,2.4988,1.3943,3.9582,0.9853
SQLiteData,default,read,equality,string,100000,10,11.1575,6.6066,26.1046,6.0039
SQLiteData,default,read,notEqual,int,10,10,0.2673,0.2085,0.6662,0.1415
SQLiteData,default,read,notEqual,int,100,10,0.2007,0.1673,0.4462,0.0867
SQLiteData,default,read,notEqual,int,1000,10,1.9607,1.0254,2.7170,0.7431
SQLiteData,default,read,notEqual,int,10000,10,8.2457,6.4686,10.8953,1.5650
SQLiteData,default,read,notEqual,int,100000,10,56.9827,51.9801,93.1973,12.7350
SQLiteData,default,read,notEqual,string,10,10,0.1237,0.0810,0.4167,0.1038
SQLiteData,default,read,notEqual,string,100,10,0.2271,0.1693,0.6710,0.1563
SQLiteData,default,read,notEqual,string,1000,10,2.0095,1.0448,3.1047,0.7854
SQLiteData,default,read,notEqual,string,10000,10,9.4552,5.8415,17.6377,3.5428
SQLiteData,default,read,notEqual,string,100000,10,57.2777,53.5685,82.0323,8.7244
SQLiteData,default,read,comparison,int,10,10,0.2549,0.1995,0.6147,0.1278
SQLiteData,default,read,comparison,int,100,10,0.2892,0.1425,0.3970,0.0703
SQLiteData,default,read,comparison,int,1000,10,0.9525,0.5518,1.4541,0.4364
SQLiteData,default,read,comparison,int,10000,10,6.0791,4.6028,9.6343,1.5588
SQLiteData,default,read,comparison,int,100000,10,31.5111,26.4387,64.1825,11.5942
SQLiteData,default,read,comparison,string,10,10,0.2604,0.1917,0.6708,0.1466
SQLiteData,default,read,comparison,string,100,10,0.3485,0.3026,0.6211,0.0972
SQLiteData,default,read,comparison,string,1000,10,0.9665,0.4822,1.6032,0.4204
SQLiteData,default,read,comparison,string,10000,10,4.5614,3.4570,5.6092,0.7030
SQLiteData,default,read,comparison,string,100000,10,26.9459,22.1267,58.1054,11.3358
